ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
8000_1.0_none_0.0010,0.915,0.005,0.811,0.023,0.975,0.004,0.172,0.003,0.893
6000_1.0_none_0.0010,0.916,0.006,0.811,0.022,0.975,0.004,0.171,0.003,0.893
12000_1.0_none_0.0010,0.916,0.007,0.811,0.022,0.975,0.004,0.173,0.004,0.893
12000_1.0_none_0.0015,0.914,0.005,0.809,0.022,0.975,0.004,0.169,0.003,0.892
4000_1.0_none_0.0010,0.914,0.006,0.81,0.021,0.974,0.004,0.17,0.003,0.892
4000_1.0_none_0.0009,0.914,0.006,0.81,0.022,0.974,0.004,0.169,0.002,0.892
4000_1.0_none_0.0015,0.911,0.006,0.808,0.023,0.975,0.005,0.167,0.003,0.8915
4000_1.0_none_0.0014,0.914,0.007,0.808,0.022,0.974,0.004,0.168,0.003,0.891
4000_1.0_none_0.0005,0.909,0.007,0.808,0.022,0.974,0.004,0.157,0.003,0.891
6000_1.0_none_0.0015,0.913,0.007,0.808,0.022,0.974,0.004,0.168,0.004,0.891
8000_1.0_none_0.0015,0.914,0.009,0.808,0.022,0.974,0.005,0.169,0.004,0.891
6000_1.0_none_0.0020,0.911,0.007,0.807,0.023,0.974,0.005,0.165,0.004,0.8905000000000001
4000_1.0_none_0.0020,0.912,0.005,0.806,0.022,0.974,0.004,0.165,0.003,0.89
4000_1.0_none_0.0020,0.912,0.006,0.806,0.022,0.974,0.005,0.165,0.002,0.89
12000_1.0_none_0.0020,0.912,0.008,0.806,0.022,0.974,0.005,0.167,0.004,0.89
4000_1.0_none_0.0018,0.913,0.008,0.806,0.023,0.974,0.005,0.165,0.003,0.89
8000_1.0_none_0.0020,0.912,0.007,0.806,0.022,0.974,0.004,0.166,0.004,0.89
4000_1.0_none_0.0023,0.91,0.008,0.805,0.023,0.974,0.005,0.163,0.003,0.8895
2000_1.0_none_0.0020,0.909,0.008,0.804,0.022,0.972,0.005,0.162,0.004,0.888
4000_1.0_none_0.0027,0.91,0.009,0.803,0.023,0.973,0.006,0.162,0.003,0.888
12000_1.0_none_0.0050,0.91,0.008,0.801,0.023,0.974,0.005,0.16,0.003,0.8875
8000_1.0_none_0.0050,0.909,0.008,0.8,0.023,0.974,0.004,0.16,0.003,0.887
4000_1.0_none_0.0050,0.909,0.009,0.8,0.023,0.974,0.004,0.159,0.003,0.887
4000_1.0_none_0.0045,0.909,0.009,0.8,0.023,0.973,0.005,0.159,0.004,0.8865000000000001
6000_1.0_none_0.0050,0.908,0.008,0.8,0.023,0.973,0.006,0.159,0.004,0.8865000000000001
1000_1.0_none_0.0020,0.905,0.006,0.803,0.021,0.97,0.005,0.157,0.002,0.8865000000000001
2000_1.0_none_0.0500,0.903,0.007,0.8,0.023,0.973,0.005,0.143,0.003,0.8865000000000001
4000_1.0_none_0.0050,0.909,0.009,0.8,0.023,0.973,0.005,0.158,0.003,0.8865000000000001
4000_1.0_none_0.0500,0.903,0.007,0.8,0.023,0.973,0.005,0.143,0.002,0.8865000000000001
2000_1.0_none_0.0200,0.905,0.008,0.799,0.024,0.973,0.006,0.148,0.002,0.886
12000_1.0_none_0.0100,0.907,0.009,0.799,0.023,0.973,0.005,0.154,0.003,0.886
2000_1.0_none_0.0050,0.908,0.007,0.799,0.022,0.973,0.006,0.157,0.003,0.886
400_1.0_none_0.0020,0.898,0.005,0.801,0.022,0.971,0.005,0.138,0.002,0.886
6000_1.0_none_0.0100,0.907,0.008,0.799,0.023,0.973,0.006,0.154,0.003,0.886
8000_1.0_none_0.0100,0.907,0.008,0.799,0.023,0.973,0.005,0.154,0.003,0.886
4000_1.0_none_0.0100,0.907,0.009,0.798,0.023,0.974,0.005,0.153,0.004,0.886
4000_1.0_none_0.0200,0.906,0.008,0.798,0.024,0.973,0.005,0.149,0.003,0.8855
600_1.0_none_0.10,0.9,0.007,0.798,0.025,0.972,0.006,0.136,0.002,0.885
1000_1.0_none_0.0500,0.902,0.008,0.799,0.023,0.971,0.006,0.143,0.003,0.885
1000_1.0_none_0.0050,0.907,0.008,0.798,0.024,0.972,0.006,0.156,0.003,0.885
600_1.0_none_0.05,0.9,0.007,0.798,0.023,0.971,0.005,0.14,0.002,0.8845000000000001
1000_1.0_none_0.0200,0.903,0.007,0.797,0.023,0.97,0.007,0.148,0.003,0.8835
600_1.0_none_0.02,0.903,0.007,0.796,0.022,0.971,0.006,0.145,0.002,0.8835
600_1.0_none_0.25,0.897,0.006,0.796,0.021,0.971,0.006,0.129,0.001,0.8835
600_1.0_none_0.01,0.905,0.008,0.797,0.023,0.97,0.004,0.151,0.003,0.8835
600_1.0_none_0.15,0.896,0.008,0.797,0.021,0.969,0.006,0.132,0.003,0.883
400_1.0_none_0.0500,0.893,0.006,0.796,0.023,0.97,0.005,0.126,0.001,0.883
400_1.0_none_0.0050,0.895,0.006,0.795,0.024,0.969,0.004,0.133,0.001,0.882
600_1.0_32_0.01,0.896,0.009,0.794,0.022,0.969,0.007,0.135,0.004,0.8815
600_1.0_32_0.05,0.89,0.007,0.79,0.023,0.972,0.006,0.124,0.002,0.881
400_1.0_none_0.0200,0.891,0.007,0.791,0.022,0.969,0.006,0.128,0.002,0.88
600_1.0_32_0.10,0.889,0.007,0.789,0.024,0.971,0.006,0.119,0.002,0.88
600_1.0_32_0.02,0.892,0.008,0.789,0.023,0.97,0.006,0.128,0.002,0.8795
600_1.0_none_0.50,0.892,0.007,0.786,0.021,0.971,0.006,0.124,0.001,0.8785000000000001
600_1.0_32_0.15,0.888,0.008,0.786,0.024,0.97,0.006,0.116,0.002,0.878
600_0.5_none_0.01,0.891,0.009,0.787,0.02,0.968,0.006,0.127,0.003,0.8775
600_0.5_none_0.15,0.884,0.008,0.785,0.02,0.97,0.005,0.112,0.002,0.8775
600_0.5_none_0.25,0.881,0.007,0.783,0.021,0.971,0.006,0.109,0.002,0.877
600_0.5_none_0.05,0.886,0.008,0.784,0.02,0.97,0.006,0.118,0.002,0.877
600_0.5_none_0.10,0.887,0.007,0.785,0.02,0.969,0.006,0.115,0.002,0.877
600_1.0_32_0.25,0.883,0.008,0.782,0.023,0.971,0.005,0.112,0.002,0.8765000000000001
600_0.5_none_0.02,0.89,0.008,0.782,0.021,0.969,0.008,0.123,0.003,0.8755
600_0.5_32_0.01,0.884,0.007,0.782,0.02,0.967,0.005,0.118,0.002,0.8745
600_0.5_none_0.50,0.877,0.007,0.777,0.02,0.97,0.005,0.105,0.002,0.8734999999999999
600_0.5_32_0.15,0.876,0.007,0.777,0.021,0.969,0.006,0.102,0.002,0.873
600_0.5_32_0.05,0.88,0.008,0.777,0.021,0.968,0.007,0.109,0.002,0.8725
600_0.5_32_0.10,0.879,0.005,0.776,0.02,0.968,0.006,0.106,0.001,0.872
600_0.5_32_0.25,0.871,0.006,0.775,0.02,0.969,0.006,0.099,0.001,0.872
600_0.5_32_0.02,0.882,0.01,0.776,0.021,0.968,0.008,0.113,0.003,0.872
600_1.0_16_0.10,0.875,0.008,0.771,0.022,0.969,0.006,0.104,0.002,0.87
600_1.0_16_0.05,0.876,0.008,0.77,0.022,0.967,0.007,0.105,0.002,0.8685
600_1.0_32_0.50,0.88,0.005,0.768,0.02,0.969,0.005,0.108,0.001,0.8685
600_1.0_16_0.02,0.875,0.011,0.768,0.021,0.967,0.007,0.106,0.003,0.8674999999999999
600_1.0_16_0.15,0.874,0.007,0.766,0.022,0.968,0.006,0.103,0.002,0.867
600_0.5_32_0.50,0.867,0.004,0.764,0.019,0.969,0.006,0.095,0.0,0.8665
600_1.0_16_0.25,0.874,0.006,0.763,0.02,0.969,0.006,0.103,0.001,0.866
600_0.2_none_0.01,0.872,0.009,0.763,0.019,0.964,0.007,0.106,0.003,0.8634999999999999
600_0.2_32_0.01,0.87,0.01,0.759,0.018,0.966,0.007,0.103,0.003,0.8625
600_0.5_16_0.10,0.866,0.009,0.758,0.02,0.967,0.006,0.096,0.002,0.8625
600_0.5_16_0.15,0.866,0.006,0.757,0.02,0.967,0.007,0.095,0.001,0.862
600_0.2_none_0.05,0.868,0.008,0.756,0.02,0.967,0.006,0.099,0.002,0.8614999999999999
600_0.5_16_0.05,0.868,0.008,0.754,0.019,0.967,0.007,0.098,0.002,0.8605
600_0.2_none_0.10,0.864,0.006,0.755,0.019,0.966,0.007,0.095,0.002,0.8605
600_0.5_16_0.25,0.864,0.006,0.755,0.019,0.966,0.006,0.094,0.001,0.8605
600_0.2_none_0.15,0.866,0.006,0.754,0.019,0.967,0.007,0.094,0.001,0.8605
600_0.2_none_0.02,0.873,0.01,0.755,0.019,0.966,0.008,0.104,0.003,0.8605
600_1.0_16_0.50,0.872,0.006,0.752,0.018,0.967,0.007,0.101,0.001,0.8594999999999999
600_0.2_none_0.25,0.858,0.006,0.752,0.02,0.966,0.007,0.09,0.001,0.859
600_0.5_16_0.02,0.867,0.008,0.749,0.02,0.966,0.006,0.099,0.003,0.8574999999999999
600_0.5_16_0.50,0.862,0.005,0.748,0.019,0.966,0.006,0.092,0.001,0.857
600_0.2_32_0.05,0.865,0.008,0.748,0.019,0.965,0.007,0.095,0.002,0.8565
600_0.2_none_0.50,0.854,0.005,0.748,0.021,0.965,0.008,0.087,0.001,0.8565
600_0.2_32_0.10,0.862,0.005,0.747,0.019,0.966,0.008,0.092,0.001,0.8565
600_0.2_32_0.15,0.859,0.007,0.746,0.019,0.966,0.008,0.089,0.001,0.856
600_0.2_32_0.02,0.869,0.009,0.747,0.017,0.964,0.006,0.098,0.002,0.8554999999999999
600_0.2_32_0.25,0.855,0.003,0.744,0.019,0.966,0.007,0.086,0.0,0.855
600_1.0_16_0.01,0.863,0.011,0.746,0.018,0.962,0.008,0.098,0.003,0.854
600_0.2_32_0.50,0.849,0.004,0.736,0.018,0.965,0.006,0.082,0.001,0.8505
600_0.2_16_0.15,0.854,0.006,0.731,0.017,0.965,0.005,0.086,0.001,0.848
600_0.2_16_0.10,0.856,0.006,0.73,0.016,0.965,0.006,0.088,0.001,0.8474999999999999
600_0.5_16_0.01,0.859,0.009,0.734,0.017,0.961,0.007,0.095,0.002,0.8474999999999999
600_0.2_16_0.25,0.851,0.006,0.728,0.017,0.964,0.008,0.085,0.001,0.846
600_0.2_16_0.05,0.858,0.01,0.726,0.018,0.964,0.008,0.089,0.002,0.845
600_0.2_16_0.02,0.859,0.01,0.724,0.015,0.963,0.008,0.091,0.002,0.8434999999999999
600_0.2_16_0.50,0.846,0.005,0.721,0.016,0.964,0.006,0.082,0.001,0.8425
600_0.2_16_0.01,0.855,0.01,0.71,0.016,0.96,0.008,0.09,0.002,0.835
600_0.5_8_0.25,0.845,0.008,0.65,0.015,0.956,0.008,0.083,0.002,0.8029999999999999
600_0.1_none_0.01,0.836,0.004,0.651,0.015,0.951,0.008,0.078,0.001,0.8009999999999999
600_0.5_8_0.50,0.843,0.008,0.646,0.017,0.955,0.008,0.083,0.002,0.8005
600_1.0_8_0.25,0.847,0.006,0.643,0.012,0.955,0.009,0.085,0.001,0.7989999999999999
600_1.0_8_0.15,0.844,0.008,0.641,0.013,0.955,0.009,0.083,0.001,0.798
600_0.1_32_0.01,0.829,0.009,0.643,0.02,0.951,0.009,0.076,0.002,0.7969999999999999
600_0.2_8_0.25,0.837,0.008,0.638,0.017,0.955,0.008,0.078,0.002,0.7965
600_0.2_8_0.50,0.838,0.007,0.637,0.015,0.955,0.008,0.078,0.001,0.796
600_0.5_8_0.15,0.842,0.006,0.636,0.015,0.955,0.008,0.081,0.001,0.7955
600_1.0_8_0.10,0.841,0.009,0.634,0.014,0.953,0.009,0.082,0.002,0.7935
600_1.0_8_0.50,0.85,0.007,0.629,0.014,0.954,0.008,0.087,0.002,0.7915
600_0.2_8_0.15,0.837,0.011,0.628,0.015,0.954,0.009,0.078,0.002,0.7909999999999999
600_0.5_8_0.10,0.84,0.01,0.625,0.014,0.954,0.008,0.08,0.002,0.7895
600_0.1_none_0.02,0.831,0.008,0.624,0.014,0.952,0.009,0.075,0.001,0.788
600_0.1_32_0.02,0.829,0.009,0.618,0.011,0.951,0.009,0.074,0.002,0.7845
600_0.2_8_0.10,0.834,0.01,0.614,0.013,0.953,0.009,0.077,0.002,0.7835
600_1.0_8_0.05,0.84,0.009,0.612,0.011,0.953,0.009,0.08,0.002,0.7825
600_0.1_32_0.05,0.823,0.008,0.613,0.018,0.951,0.007,0.071,0.001,0.782
600_0.1_none_0.15,0.813,0.007,0.61,0.013,0.95,0.009,0.066,0.001,0.78
600_0.1_none_0.05,0.822,0.008,0.609,0.017,0.95,0.009,0.072,0.002,0.7795
600_0.1_32_0.10,0.817,0.008,0.608,0.013,0.95,0.009,0.068,0.001,0.7789999999999999
600_0.1_16_0.01,0.831,0.012,0.611,0.012,0.947,0.009,0.077,0.003,0.7789999999999999
600_0.1_none_0.10,0.818,0.007,0.607,0.014,0.95,0.009,0.069,0.001,0.7785
600_0.1_32_0.15,0.814,0.008,0.604,0.013,0.951,0.009,0.066,0.001,0.7775
