ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
12000_1.0_none_0.050,0.907,0.006,0.759,0.026,0.97,0.005,0.162,0.002,0.8645
12000_1.0_none_0.075,0.906,0.006,0.759,0.026,0.97,0.005,0.16,0.002,0.8645
6000_1.0_none_0.050,0.906,0.006,0.758,0.027,0.97,0.006,0.161,0.002,0.864
4000_1.0_none_0.100,0.905,0.006,0.758,0.025,0.97,0.005,0.157,0.002,0.864
6000_1.0_none_0.100,0.906,0.005,0.758,0.026,0.97,0.004,0.157,0.002,0.864
8000_1.0_none_0.050,0.906,0.005,0.758,0.026,0.97,0.005,0.161,0.001,0.864
8000_1.0_none_0.100,0.906,0.005,0.758,0.025,0.97,0.005,0.158,0.002,0.864
12000_1.0_none_0.100,0.906,0.006,0.758,0.025,0.97,0.005,0.158,0.002,0.864
6000_1.0_none_0.075,0.906,0.005,0.758,0.026,0.969,0.005,0.159,0.002,0.8634999999999999
4000_1.0_none_0.050,0.906,0.006,0.758,0.027,0.969,0.005,0.16,0.002,0.8634999999999999
8000_1.0_none_0.075,0.906,0.005,0.758,0.026,0.969,0.005,0.159,0.001,0.8634999999999999
600_1.0_none_0.05,0.902,0.007,0.757,0.026,0.969,0.004,0.155,0.003,0.863
4000_1.0_none_0.025,0.905,0.005,0.755,0.027,0.969,0.004,0.16,0.002,0.862
4000_1.0_none_0.200,0.905,0.007,0.752,0.022,0.969,0.005,0.152,0.002,0.8605
600_1.0_none_0.10,0.902,0.007,0.755,0.024,0.965,0.007,0.153,0.002,0.86
4000_1.0_none_0.250,0.903,0.007,0.749,0.022,0.969,0.004,0.15,0.002,0.859
4000_1.0_none_0.010,0.902,0.006,0.749,0.028,0.968,0.005,0.154,0.002,0.8585
600_1.0_none_0.20,0.9,0.006,0.749,0.022,0.967,0.006,0.148,0.002,0.858
4000_1.0_none_0.005,0.899,0.007,0.747,0.028,0.968,0.004,0.146,0.003,0.8574999999999999
600_1.0_none_0.25,0.9,0.007,0.746,0.021,0.967,0.006,0.146,0.003,0.8565
4000_1.0_24_0.050,0.891,0.006,0.744,0.026,0.968,0.005,0.13,0.001,0.856
4000_1.0_24_0.025,0.894,0.006,0.745,0.027,0.967,0.005,0.137,0.002,0.856
4000_1.0_24_0.010,0.894,0.006,0.742,0.028,0.968,0.005,0.139,0.002,0.855
600_0.6_none_0.05,0.894,0.007,0.743,0.026,0.965,0.006,0.142,0.002,0.854
600_0.6_none_0.10,0.894,0.008,0.744,0.021,0.964,0.007,0.138,0.003,0.854
4000_1.0_24_0.100,0.888,0.006,0.738,0.025,0.967,0.005,0.124,0.002,0.8525
600_0.6_none_0.20,0.893,0.007,0.738,0.021,0.965,0.006,0.135,0.002,0.8514999999999999
600_0.6_none_0.25,0.894,0.007,0.736,0.02,0.965,0.006,0.134,0.002,0.8505
600_1.0_none_0.33,0.702,0.006,0.735,0.021,0.965,0.005,0.566,0.012,0.85
600_1.0_none_0.33,0.704,0.004,0.734,0.02,0.965,0.006,0.571,0.009,0.8494999999999999
4000_1.0_24_0.005,0.891,0.008,0.731,0.026,0.967,0.006,0.128,0.002,0.849
600_1.0_20_0.10,0.879,0.01,0.733,0.028,0.965,0.008,0.112,0.002,0.849
600_1.0_20_0.05,0.879,0.006,0.733,0.027,0.964,0.006,0.116,0.002,0.8485
4000_1.0_24_0.200,0.884,0.007,0.729,0.023,0.967,0.006,0.117,0.002,0.848
600_1.0_none_0.40,0.701,0.007,0.729,0.02,0.964,0.004,0.563,0.015,0.8465
600_1.0_none_0.40,0.702,0.007,0.73,0.02,0.963,0.006,0.566,0.012,0.8465
600_0.4_none_0.10,0.89,0.006,0.727,0.022,0.964,0.005,0.129,0.002,0.8454999999999999
600_0.4_none_0.05,0.889,0.005,0.728,0.024,0.963,0.004,0.13,0.002,0.8454999999999999
600_1.0_none_0.50,0.702,0.009,0.726,0.018,0.965,0.006,0.567,0.019,0.8454999999999999
4000_1.0_24_0.250,0.882,0.007,0.724,0.022,0.966,0.005,0.116,0.002,0.845
600_1.0_none_0.50,0.702,0.006,0.724,0.017,0.965,0.005,0.566,0.012,0.8445
600_0.4_none_0.20,0.89,0.008,0.721,0.019,0.965,0.005,0.125,0.003,0.843
600_1.0_20_0.20,0.878,0.006,0.722,0.024,0.964,0.006,0.109,0.002,0.843
600_1.0_20_0.25,0.876,0.008,0.719,0.026,0.964,0.006,0.108,0.002,0.8414999999999999
600_0.6_20_0.05,0.876,0.007,0.72,0.023,0.963,0.008,0.11,0.002,0.8414999999999999
600_0.6_20_0.10,0.875,0.007,0.72,0.025,0.963,0.006,0.107,0.001,0.8414999999999999
600_0.4_none_0.25,0.888,0.007,0.718,0.018,0.964,0.006,0.124,0.003,0.841
600_0.6_20_0.20,0.871,0.007,0.716,0.022,0.964,0.006,0.103,0.002,0.84
600_0.6_20_0.25,0.871,0.005,0.712,0.021,0.962,0.007,0.102,0.001,0.837
600_1.0_15_0.20,0.868,0.005,0.711,0.026,0.963,0.006,0.1,0.001,0.837
600_1.0_15_0.10,0.868,0.006,0.711,0.024,0.963,0.006,0.101,0.001,0.837
600_1.0_15_0.25,0.868,0.007,0.707,0.023,0.963,0.006,0.1,0.002,0.835
600_1.0_15_0.05,0.869,0.007,0.705,0.025,0.962,0.006,0.102,0.001,0.8334999999999999
600_0.4_20_0.05,0.87,0.01,0.705,0.022,0.961,0.007,0.105,0.002,0.833
600_0.4_20_0.10,0.866,0.009,0.705,0.022,0.96,0.007,0.1,0.002,0.8325
600_0.6_15_0.20,0.862,0.008,0.702,0.022,0.963,0.006,0.095,0.002,0.8325
600_0.6_15_0.10,0.864,0.008,0.7,0.022,0.962,0.006,0.097,0.002,0.831
600_0.4_20_0.20,0.866,0.007,0.7,0.019,0.961,0.007,0.098,0.001,0.8305
600_0.6_15_0.25,0.863,0.006,0.699,0.019,0.962,0.006,0.095,0.001,0.8305
600_0.4_20_0.25,0.865,0.006,0.697,0.019,0.961,0.006,0.097,0.002,0.829
600_0.6_15_0.05,0.864,0.01,0.69,0.021,0.962,0.006,0.098,0.002,0.826
600_1.0_40_0.33,0.728,0.003,0.688,0.02,0.962,0.007,0.598,0.007,0.825
600_0.4_15_0.25,0.858,0.007,0.687,0.019,0.961,0.006,0.091,0.001,0.8240000000000001
600_0.4_15_0.20,0.861,0.008,0.688,0.018,0.96,0.007,0.092,0.002,0.824
4000_1.0_12_0.200,0.863,0.006,0.683,0.022,0.962,0.006,0.095,0.002,0.8225
600_0.4_15_0.10,0.86,0.007,0.685,0.02,0.96,0.006,0.093,0.002,0.8225
4000_1.0_12_0.250,0.864,0.007,0.682,0.023,0.962,0.006,0.095,0.002,0.8220000000000001
4000_1.0_12_0.100,0.86,0.007,0.677,0.023,0.961,0.006,0.094,0.001,0.819
600_1.0_40_0.40,0.731,0.005,0.676,0.017,0.961,0.006,0.6,0.011,0.8185
600_0.4_15_0.05,0.859,0.007,0.678,0.022,0.959,0.007,0.094,0.001,0.8185
600_1.0_40_0.50,0.73,0.004,0.663,0.014,0.96,0.006,0.597,0.007,0.8115
4000_1.0_12_0.050,0.856,0.009,0.661,0.024,0.96,0.006,0.093,0.002,0.8105
600_0.2_none_0.33,0.567,0.006,0.661,0.019,0.957,0.007,0.237,0.02,0.8089999999999999
600_1.0_25_0.33,0.753,0.006,0.655,0.021,0.959,0.005,0.621,0.013,0.8069999999999999
600_0.2_none_0.40,0.569,0.005,0.656,0.017,0.957,0.005,0.241,0.015,0.8065
600_0.2_none_0.50,0.571,0.007,0.649,0.016,0.956,0.009,0.248,0.02,0.8025
600_1.0_25_0.40,0.753,0.005,0.643,0.021,0.959,0.007,0.615,0.009,0.8009999999999999
4000_1.0_12_0.025,0.854,0.009,0.643,0.023,0.957,0.007,0.091,0.002,0.8
600_1.0_25_0.50,0.754,0.005,0.629,0.017,0.958,0.006,0.601,0.009,0.7935
600_1.0_12_0.33,0.799,0.005,0.612,0.022,0.953,0.007,0.582,0.013,0.7825
4000_1.0_12_0.010,0.846,0.01,0.606,0.022,0.951,0.008,0.087,0.002,0.7785
600_0.1_none_0.33,0.517,0.004,0.602,0.02,0.949,0.007,0.067,0.016,0.7755
600_1.0_12_0.40,0.802,0.008,0.598,0.021,0.953,0.007,0.563,0.023,0.7755
600_0.1_none_0.40,0.517,0.004,0.596,0.017,0.95,0.007,0.067,0.014,0.7729999999999999
600_0.1_none_0.50,0.517,0.002,0.588,0.015,0.948,0.008,0.064,0.009,0.768
600_1.0_12_0.50,0.799,0.006,0.582,0.019,0.951,0.008,0.538,0.023,0.7665
4000_1.0_12_0.005,0.832,0.009,0.547,0.021,0.942,0.008,0.08,0.002,0.7444999999999999
600_0.2_12_0.33,0.684,0.006,0.518,0.015,0.942,0.009,0.485,0.015,0.73
600_0.2_12_0.40,0.687,0.008,0.504,0.017,0.942,0.007,0.482,0.017,0.723
600_0.2_12_0.50,0.692,0.007,0.489,0.019,0.941,0.008,0.483,0.018,0.715
600_0.1_12_0.33,0.598,0.003,0.45,0.017,0.931,0.01,0.316,0.011,0.6905
600_0.1_12_0.40,0.604,0.005,0.44,0.019,0.931,0.009,0.329,0.013,0.6855
600_1.0_6_0.33,0.847,0.016,0.436,0.025,0.927,0.009,0.238,0.013,0.6815
600_0.1_12_0.50,0.606,0.007,0.428,0.021,0.931,0.009,0.331,0.019,0.6795
600_1.0_6_0.40,0.845,0.016,0.431,0.024,0.927,0.009,0.238,0.013,0.679
600_1.0_6_0.50,0.844,0.017,0.422,0.018,0.927,0.009,0.239,0.013,0.6745
4000_1.0_6_0.250,0.816,0.009,0.401,0.02,0.924,0.009,0.075,0.001,0.6625000000000001
600_0.2_6_0.33,0.785,0.012,0.399,0.017,0.924,0.01,0.335,0.021,0.6615
4000_1.0_6_0.200,0.816,0.011,0.399,0.02,0.923,0.009,0.074,0.002,0.661
600_0.2_6_0.40,0.787,0.013,0.394,0.017,0.925,0.01,0.335,0.023,0.6595
600_0.2_6_0.50,0.787,0.014,0.383,0.018,0.925,0.009,0.327,0.027,0.654
4000_1.0_6_0.100,0.813,0.008,0.379,0.019,0.921,0.009,0.072,0.001,0.65
1200_1.0_20_0.33,,,0.644,0.027,,,,,0.644
600_1.0_20_0.33,,,0.644,0.026,,,,,0.644
200_1.0_20_0.33,,,0.644,0.027,,,,,0.644
600_0.1_6_0.33,0.708,0.008,0.363,0.015,0.92,0.01,0.381,0.009,0.6415
600_0.1_6_0.40,0.709,0.009,0.359,0.021,0.919,0.01,0.376,0.018,0.639
4000_1.0_6_0.050,0.811,0.011,0.356,0.018,0.917,0.009,0.071,0.002,0.6365000000000001
600_0.1_6_0.50,0.715,0.008,0.349,0.019,0.919,0.011,0.37,0.017,0.634
1200_1.0_15_0.33,,,0.629,0.029,,,,,0.629
600_1.0_15_0.33,,,0.626,0.028,,,,,0.626
200_1.0_15_0.33,,,0.623,0.032,,,,,0.623
4000_1.0_6_0.025,0.807,0.012,0.334,0.017,0.911,0.01,0.07,0.002,0.6225
600_0.0_none_0.33,0.5,0.0,0.323,0.021,0.9,0.01,0.0,0.0,0.6115
4000_1.0_6_0.010,0.799,0.01,0.31,0.018,0.904,0.009,0.068,0.002,0.607
400_1.0_12_0.33,,,0.607,0.031,,,,,0.607
500_1.0_12_0.33,,,0.607,0.03,,,,,0.607
600_0.0_none_0.40,0.5,0.0,0.308,0.021,0.903,0.008,0.0,0.0,0.6055
600_0.0_none_0.50,0.5,0.0,0.305,0.024,0.903,0.008,0.0,0.0,0.604
400_0.8_12_0.33,,,0.602,0.034,,,,,0.602
500_0.8_12_0.33,,,0.599,0.032,,,,,0.599
600_0.2_4_0.33,0.806,0.022,0.296,0.017,0.897,0.012,0.161,0.011,0.5965
