ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1)
4000_1.0_none_0.005,0.899,0.007,0.747,0.028,0.968,0.004,0.146,0.003
4000_1.0_none_0.010,0.902,0.006,0.749,0.028,0.968,0.005,0.154,0.002
4000_1.0_none_0.025,0.905,0.005,0.755,0.027,0.969,0.004,0.160,0.002
4000_1.0_none_0.050,0.906,0.006,0.758,0.027,0.969,0.005,0.160,0.002
4000_1.0_none_0.100,0.905,0.006,0.758,0.025,0.970,0.005,0.157,0.002
4000_1.0_none_0.200,0.905,0.007,0.752,0.022,0.969,0.005,0.152,0.002
4000_1.0_none_0.250,0.903,0.007,0.749,0.022,0.969,0.004,0.150,0.002
4000_1.0_6_0.005,0.791,0.011,0.290,0.017,0.896,0.010,0.065,0.002
4000_1.0_6_0.010,0.799,0.010,0.310,0.018,0.904,0.009,0.068,0.002
4000_1.0_6_0.025,0.807,0.012,0.334,0.017,0.911,0.010,0.070,0.002
4000_1.0_6_0.050,0.811,0.011,0.356,0.018,0.917,0.009,0.071,0.002
4000_1.0_6_0.100,0.813,0.008,0.379,0.019,0.921,0.009,0.072,0.001
4000_1.0_6_0.200,0.816,0.011,0.399,0.020,0.923,0.009,0.074,0.002
4000_1.0_6_0.250,0.816,0.009,0.401,0.020,0.924,0.009,0.075,0.001
4000_1.0_12_0.005,0.832,0.009,0.547,0.021,0.942,0.008,0.080,0.002
4000_1.0_12_0.010,0.846,0.010,0.606,0.022,0.951,0.008,0.087,0.002
4000_1.0_12_0.025,0.854,0.009,0.643,0.023,0.957,0.007,0.091,0.002
4000_1.0_12_0.050,0.856,0.009,0.661,0.024,0.960,0.006,0.093,0.002
4000_1.0_12_0.100,0.860,0.007,0.677,0.023,0.961,0.006,0.094,0.001
4000_1.0_12_0.200,0.863,0.006,0.683,0.022,0.962,0.006,0.095,0.002
4000_1.0_12_0.250,0.864,0.007,0.682,0.023,0.962,0.006,0.095,0.002
4000_1.0_24_0.005,0.891,0.008,0.731,0.026,0.967,0.006,0.128,0.002
4000_1.0_24_0.010,0.894,0.006,0.742,0.028,0.968,0.005,0.139,0.002
4000_1.0_24_0.025,0.894,0.006,0.745,0.027,0.967,0.005,0.137,0.002
4000_1.0_24_0.050,0.891,0.006,0.744,0.026,0.968,0.005,0.130,0.001
4000_1.0_24_0.100,0.888,0.006,0.738,0.025,0.967,0.005,0.124,0.002
4000_1.0_24_0.200,0.884,0.007,0.729,0.023,0.967,0.006,0.117,0.002
4000_1.0_24_0.250,0.882,0.007,0.724,0.022,0.966,0.005,0.116,0.002
