ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1)
4000_0.0_none_0.0014,0.873,0.010,0.720,0.016,0.947,0.004,0.132,0.007
4000_0.0_none_0.0018,0.873,0.007,0.719,0.008,0.947,0.004,0.127,0.003
4000_0.0_none_0.0023,0.868,0.006,0.712,0.010,0.947,0.006,0.115,0.004
4000_0.1_none_0.0014,0.887,0.005,0.789,0.015,0.965,0.003,0.128,0.003
4000_0.1_none_0.0018,0.878,0.006,0.787,0.014,0.964,0.003,0.112,0.003
4000_0.1_none_0.0023,0.864,0.004,0.783,0.015,0.964,0.003,0.098,0.002
4000_0.2_none_0.0014,0.898,0.005,0.800,0.015,0.968,0.002,0.145,0.003
4000_0.2_none_0.0018,0.893,0.005,0.799,0.015,0.968,0.003,0.130,0.003
4000_0.2_none_0.0023,0.884,0.008,0.798,0.015,0.968,0.004,0.117,0.003
4000_0.5_none_0.0014,0.915,0.004,0.810,0.013,0.971,0.003,0.182,0.003
4000_0.5_none_0.0018,0.910,0.004,0.811,0.014,0.972,0.004,0.167,0.002
4000_0.5_none_0.0023,0.906,0.004,0.812,0.015,0.971,0.004,0.154,0.002
4000_1.0_none_0.0014,0.921,0.007,0.811,0.016,0.972,0.004,0.212,0.003
4000_1.0_none_0.0018,0.918,0.004,0.813,0.017,0.971,0.002,0.198,0.002
4000_1.0_none_0.0023,0.916,0.005,0.814,0.016,0.973,0.004,0.186,0.002
6000_0.0_none_0.0014,0.878,0.006,0.729,0.012,0.951,0.005,0.137,0.003
6000_0.0_none_0.0018,0.877,0.007,0.722,0.012,0.948,0.006,0.133,0.004
6000_0.0_none_0.0023,0.867,0.010,0.716,0.009,0.946,0.007,0.120,0.003
6000_0.1_none_0.0014,0.889,0.003,0.789,0.015,0.965,0.004,0.131,0.003
6000_0.1_none_0.0018,0.877,0.006,0.786,0.015,0.965,0.004,0.113,0.003
6000_0.1_none_0.0023,0.868,0.004,0.782,0.015,0.964,0.004,0.101,0.003
6000_0.2_none_0.0014,0.902,0.007,0.801,0.014,0.969,0.004,0.149,0.003
6000_0.2_none_0.0018,0.892,0.006,0.800,0.015,0.968,0.004,0.131,0.002
6000_0.2_none_0.0023,0.884,0.005,0.798,0.015,0.968,0.002,0.118,0.003
6000_0.5_none_0.0014,0.915,0.005,0.810,0.014,0.971,0.004,0.184,0.001
6000_0.5_none_0.0018,0.911,0.005,0.812,0.014,0.971,0.002,0.169,0.002
6000_0.5_none_0.0023,0.908,0.007,0.811,0.014,0.971,0.003,0.156,0.002
6000_1.0_none_0.0014,0.923,0.006,0.811,0.016,0.973,0.003,0.215,0.002
6000_1.0_none_0.0018,0.920,0.004,0.814,0.016,0.972,0.002,0.201,0.004
6000_1.0_none_0.0023,0.916,0.004,0.814,0.015,0.972,0.003,0.188,0.002
8000_0.0_none_0.0014,0.881,0.007,0.731,0.015,0.950,0.006,0.140,0.004
8000_0.0_none_0.0018,0.875,0.007,0.722,0.012,0.948,0.004,0.133,0.005
8000_0.0_none_0.0023,0.872,0.006,0.715,0.010,0.948,0.006,0.122,0.004
8000_0.1_none_0.0014,0.890,0.004,0.789,0.015,0.965,0.004,0.132,0.004
8000_0.1_none_0.0018,0.880,0.005,0.787,0.015,0.965,0.003,0.114,0.003
8000_0.1_none_0.0023,0.867,0.005,0.783,0.014,0.964,0.003,0.100,0.003
8000_0.2_none_0.0014,0.902,0.006,0.801,0.014,0.969,0.004,0.150,0.003
8000_0.2_none_0.0018,0.893,0.004,0.800,0.014,0.969,0.003,0.132,0.003
8000_0.2_none_0.0023,0.885,0.006,0.798,0.014,0.968,0.003,0.119,0.003
8000_0.5_none_0.0014,0.915,0.004,0.811,0.014,0.972,0.004,0.187,0.003
8000_0.5_none_0.0018,0.912,0.005,0.812,0.014,0.972,0.004,0.170,0.003
8000_0.5_none_0.0023,0.905,0.003,0.811,0.015,0.972,0.003,0.155,0.001
8000_1.0_none_0.0014,0.923,0.006,0.811,0.015,0.972,0.004,0.217,0.003
8000_1.0_none_0.0018,0.920,0.004,0.813,0.016,0.973,0.004,0.202,0.002
8000_1.0_none_0.0023,0.919,0.003,0.814,0.015,0.973,0.002,0.188,0.002
