ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
8000_1.0_none_0.0023,0.919,0.003,0.814,0.015,0.973,0.002,0.188,0.002,0.894
4000_1.0_none_0.0023,0.916,0.005,0.814,0.016,0.973,0.004,0.186,0.002,0.894
8000_1.0_none_0.0018,0.92,0.004,0.813,0.016,0.973,0.004,0.202,0.002,0.893
4000_1.0_none_0.0018,0.921,0.002,0.813,0.015,0.973,0.003,0.199,0.001,0.893
4000_1.0_none_0.0023,0.915,0.004,0.814,0.016,0.972,0.005,0.185,0.001,0.893
6000_1.0_none_0.0023,0.916,0.004,0.814,0.015,0.972,0.003,0.188,0.002,0.893
6000_1.0_none_0.0018,0.92,0.004,0.814,0.016,0.972,0.002,0.201,0.004,0.893
4000_1.0_none_0.0027,0.915,0.004,0.813,0.015,0.972,0.004,0.178,0.002,0.893
4000_1.0_none_0.0045,0.912,0.004,0.813,0.016,0.972,0.003,0.167,0.002,0.893
8000_0.5_none_0.0018,0.912,0.005,0.812,0.014,0.972,0.004,0.17,0.003,0.892
6000_1.0_none_0.0014,0.923,0.006,0.811,0.016,0.973,0.003,0.215,0.002,0.892
4000_1.0_none_0.0100,0.908,0.005,0.813,0.016,0.971,0.003,0.158,0.002,0.892
4000_1.0_none_0.0018,0.918,0.004,0.813,0.017,0.971,0.002,0.198,0.002,0.892
8000_1.0_none_0.0014,0.923,0.006,0.811,0.015,0.972,0.004,0.217,0.003,0.892
4000_1.0_none_0.0014,0.921,0.007,0.811,0.016,0.972,0.004,0.212,0.003,0.892
4000_0.5_none_0.0023,0.906,0.004,0.812,0.015,0.971,0.004,0.154,0.002,0.892
4000_0.5_none_0.0018,0.91,0.004,0.811,0.014,0.972,0.004,0.167,0.002,0.892
6000_0.5_none_0.0018,0.911,0.005,0.812,0.014,0.971,0.002,0.169,0.002,0.892
8000_0.5_none_0.0014,0.915,0.004,0.811,0.014,0.972,0.004,0.187,0.003,0.892
8000_0.5_none_0.0023,0.905,0.003,0.811,0.015,0.972,0.003,0.155,0.001,0.892
4000_1.0_none_0.0014,0.921,0.006,0.811,0.016,0.972,0.003,0.211,0.003,0.892
6000_0.5_none_0.0023,0.908,0.007,0.811,0.014,0.971,0.003,0.156,0.002,0.891
4000_0.5_none_0.0014,0.915,0.004,0.81,0.013,0.971,0.003,0.182,0.003,0.891
6000_0.5_none_0.0014,0.915,0.005,0.81,0.014,0.971,0.004,0.184,0.001,0.891
4000_1.0_none_0.0500,0.901,0.005,0.809,0.018,0.971,0.003,0.143,0.002,0.890
4000_1.0_none_0.1000,0.898,0.005,0.807,0.019,0.971,0.004,0.137,0.002,0.889
4000_1.0_none_0.0005,0.912,0.007,0.803,0.017,0.971,0.004,0.171,0.004,0.887
4000_1.0_none_0.2000,0.895,0.004,0.803,0.02,0.971,0.004,0.13,0.001,0.887
4000_1.0_none_0.0009,0.913,0.006,0.801,0.017,0.97,0.004,0.171,0.004,0.886
8000_0.2_none_0.0014,0.902,0.006,0.801,0.014,0.969,0.004,0.15,0.003,0.885
6000_0.2_none_0.0014,0.902,0.007,0.801,0.014,0.969,0.004,0.149,0.003,0.885
8000_0.2_none_0.0018,0.893,0.004,0.8,0.014,0.969,0.003,0.132,0.003,0.885
4000_0.2_none_0.0014,0.898,0.005,0.8,0.015,0.968,0.002,0.145,0.003,0.884
6000_0.2_none_0.0018,0.892,0.006,0.8,0.015,0.968,0.004,0.131,0.002,0.884
4000_0.2_none_0.0018,0.893,0.005,0.799,0.015,0.968,0.003,0.13,0.003,0.884
4000_1.0_24_0.0500,0.886,0.006,0.797,0.015,0.969,0.003,0.121,0.002,0.883
6000_0.2_none_0.0023,0.884,0.005,0.798,0.015,0.968,0.002,0.118,0.003,0.883
8000_0.2_none_0.0023,0.885,0.006,0.798,0.014,0.968,0.003,0.119,0.003,0.883
4000_0.2_none_0.0023,0.884,0.008,0.798,0.015,0.968,0.004,0.117,0.003,0.883
