c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1)
0.001_poly_degree3_scale_0.0fps,0.624,0.088,0.550,0.027,0.921,0.007,0.323,0.254
0.001_poly_degree3_scale_1.0fps,0.819,0.016,0.479,0.035,0.918,0.009,0.197,0.014
0.001_poly_degree3_scale_10.0fps,0.836,0.020,0.521,0.055,0.924,0.011,0.410,0.018
0.001_poly_degree3_auto_0.0fps,0.500,0.000,0.722,0.036,0.944,0.010,0.024,0.000
0.001_poly_degree3_auto_1.0fps,0.500,0.000,0.250,0.031,0.866,0.011,0.019,0.010
0.001_poly_degree3_auto_10.0fps,0.836,0.018,0.386,0.028,0.918,0.008,0.154,0.007
0.001_poly_degree3_0.1_0.0fps,0.767,0.004,0.731,0.034,0.948,0.009,0.687,0.007
0.001_poly_degree3_0.1_1.0fps,0.778,0.004,0.732,0.036,0.945,0.009,0.698,0.008
0.001_poly_degree3_0.1_10.0fps,0.793,0.018,0.708,0.039,0.928,0.009,0.719,0.027
0.001_poly_degree3_0.5_0.0fps,0.758,0.005,0.738,0.032,0.947,0.006,0.672,0.010
0.001_poly_degree3_0.5_1.0fps,0.763,0.004,0.740,0.033,0.946,0.006,0.681,0.009
0.001_poly_degree3_0.5_10.0fps,0.777,0.007,0.735,0.036,0.941,0.006,0.702,0.009
0.010_poly_degree3_scale_0.0fps,nan,nan,nan,nan,nan,nan,nan,nan
0.010_poly_degree3_scale_1.0fps,0.849,0.024,0.629,0.044,0.942,0.007,0.468,0.026
0.010_poly_degree3_scale_10.0fps,0.789,0.022,0.612,0.040,0.915,0.012,0.608,0.043
0.010_poly_degree3_auto_0.0fps,0.500,0.000,0.722,0.036,0.944,0.010,0.024,0.000
0.010_poly_degree3_auto_1.0fps,0.741,0.051,0.250,0.031,0.866,0.011,0.106,0.070
0.010_poly_degree3_auto_10.0fps,0.856,0.016,0.423,0.057,0.927,0.008,0.244,0.009
0.010_poly_degree3_0.1_0.0fps,0.758,0.006,0.736,0.033,0.947,0.006,0.672,0.014
0.010_poly_degree3_0.1_1.0fps,0.772,0.008,0.739,0.035,0.944,0.006,0.696,0.013
0.010_poly_degree3_0.1_10.0fps,0.788,0.014,0.708,0.038,0.928,0.008,0.717,0.018
0.010_poly_degree3_0.5_0.0fps,0.758,0.005,0.738,0.032,0.947,0.006,0.672,0.010
0.010_poly_degree3_0.5_1.0fps,0.763,0.004,0.740,0.033,0.946,0.006,0.681,0.009
0.010_poly_degree3_0.5_10.0fps,nan,nan,nan,nan,nan,nan,nan,nan
0.100_poly_degree3_scale_0.0fps,0.773,0.006,0.723,0.035,0.949,0.007,0.691,0.008
0.100_poly_degree3_scale_1.0fps,0.804,0.013,0.713,0.039,0.934,0.009,0.723,0.019
0.100_poly_degree3_scale_10.0fps,0.777,0.024,0.615,0.033,0.911,0.010,0.627,0.039
0.100_poly_degree3_auto_0.0fps,0.500,0.000,0.550,0.027,0.921,0.007,0.000,0.000
0.100_poly_degree3_auto_1.0fps,nan,nan,nan,nan,nan,nan,nan,nan
0.100_poly_degree3_auto_10.0fps,0.813,0.022,0.496,0.054,0.915,0.012,0.404,0.017
0.100_poly_degree3_0.1_0.0fps,0.758,0.005,0.738,0.033,0.947,0.006,0.672,0.010
0.100_poly_degree3_0.1_1.0fps,0.772,0.008,0.739,0.034,0.944,0.006,0.696,0.012
0.100_poly_degree3_0.1_10.0fps,0.788,0.014,0.708,0.038,0.928,0.008,0.717,0.018
0.100_poly_degree3_0.5_0.0fps,0.758,0.005,0.738,0.032,0.947,0.006,0.672,0.010
0.100_poly_degree3_0.5_1.0fps,0.763,0.004,0.740,0.033,0.946,0.006,0.681,0.009
0.100_poly_degree3_0.5_10.0fps,0.777,0.007,0.735,0.036,0.941,0.006,0.702,0.009
1.000_poly_degree3_scale_0.0fps,0.761,0.006,0.735,0.033,0.947,0.007,0.676,0.013
1.000_poly_degree3_scale_1.0fps,0.787,0.011,0.719,0.038,0.932,0.008,0.718,0.015
1.000_poly_degree3_scale_10.0fps,0.777,0.024,0.614,0.034,0.911,0.010,0.622,0.041
1.000_poly_degree3_auto_0.0fps,nan,nan,nan,nan,nan,nan,nan,nan
