c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1)
0.001_rbf_scale_fps,0.500,0.000,0.347,0.029,0.865,0.014,0.005,0.010
0.001_rbf_auto_fps,0.500,0.000,0.225,0.033,0.857,0.017,0.005,0.010
0.001_rbf_0.1_fps,0.500,0.000,0.586,0.024,0.927,0.016,0.005,0.010
0.001_rbf_0.5_fps,0.500,0.000,0.584,0.030,0.927,0.017,0.005,0.010
0.010_rbf_scale_fps,0.822,0.021,0.405,0.034,0.901,0.013,0.160,0.008
0.010_rbf_auto_fps,nan,nan,nan,nan,nan,nan,nan,nan
0.010_rbf_0.1_fps,0.553,0.106,0.586,0.024,0.927,0.016,0.127,0.242
0.010_rbf_0.5_fps,0.500,0.000,0.592,0.029,0.929,0.017,0.010,0.012
0.100_rbf_scale_fps,0.818,0.011,0.616,0.051,0.941,0.013,0.582,0.025
0.100_rbf_auto_fps,nan,nan,nan,nan,nan,nan,nan,nan
0.100_rbf_0.1_fps,0.508,0.005,0.595,0.027,0.934,0.014,0.033,0.021
0.100_rbf_0.5_fps,0.504,0.002,0.583,0.031,0.921,0.017,0.015,0.007
1.000_rbf_scale_fps,0.750,0.021,0.699,0.029,0.934,0.012,0.654,0.044
1.000_rbf_auto_fps,nan,nan,nan,nan,nan,nan,nan,nan
1.000_rbf_0.1_fps,0.508,0.005,0.606,0.027,0.935,0.015,0.033,0.021
1.000_rbf_0.5_fps,nan,nan,nan,nan,nan,nan,nan,nan
