c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),kernel,feats,C,gamma,degree,coef0,avg_metric
0.001_linear_nogamma_both,0.8,0.01,0.499,0.025,0.916,0.017,0.52,0.012,linear,both,0.001,,,,0.7075
0.010_linear_nogamma_both,0.767,0.018,0.476,0.026,0.902,0.02,0.515,0.028,linear,both,0.01,,,,0.6890000000000001
0.100_linear_nogamma_both,0.765,0.013,0.461,0.025,0.902,0.02,0.513,0.023,linear,both,0.1,,,,0.6815
1.000_linear_nogamma_both,0.765,0.013,0.461,0.025,0.902,0.02,0.513,0.023,linear,both,1.0,,,,0.6815
10.000_linear_nogamma_both,0.765,0.013,0.461,0.025,0.902,0.02,0.513,0.023,linear,both,10.0,,,,0.6815
0.001_linear_nogamma_desc,0.811,0.016,0.185,0.028,0.882,0.014,0.107,0.002,linear,desc,0.001,,,,0.5335
0.010_linear_nogamma_desc,0.81,0.015,0.172,0.028,0.877,0.019,0.109,0.004,linear,desc,0.01,,,,0.5245
0.100_linear_nogamma_desc,0.812,0.015,0.166,0.03,0.874,0.021,0.113,0.002,linear,desc,0.1,,,,0.52
1.000_linear_nogamma_desc,0.812,0.012,0.163,0.026,0.872,0.023,0.113,0.002,linear,desc,1.0,,,,0.5175
10.000_linear_nogamma_desc,0.814,0.012,0.155,0.033,0.869,0.025,0.114,0.002,linear,desc,10.0,,,,0.512
0.001_linear_nogamma_fps,0.811,0.037,0.527,0.047,0.918,0.02,0.528,0.041,linear,fps,0.001,,,,0.7225
0.010_linear_nogamma_fps,0.769,0.028,0.489,0.039,0.906,0.018,0.51,0.021,linear,fps,0.01,,,,0.6975
0.100_linear_nogamma_fps,0.767,0.032,0.479,0.039,0.905,0.018,0.501,0.033,linear,fps,0.1,,,,0.692
1.000_linear_nogamma_fps,0.767,0.032,0.479,0.039,0.905,0.018,0.501,0.033,linear,fps,1.0,,,,0.692
10.000_linear_nogamma_fps,0.767,0.032,0.479,0.039,0.905,0.018,0.501,0.033,linear,fps,10.0,,,,0.692
0.100_poly_scale_0.0_3_both,0.728,0.012,0.724,0.032,0.969,0.006,0.617,0.02,poly,both,0.1,scale,3.0,0.0,0.8465
0.100_poly_scale_0.0_2_both,0.788,0.023,0.734,0.034,0.958,0.011,0.699,0.036,poly,both,0.1,scale,2.0,0.0,0.846
10.000_poly_scale_0.3_3_both,0.766,0.016,0.74,0.04,0.949,0.013,0.682,0.023,poly,both,10.0,scale,3.0,0.3,0.8445
10.000_poly_scale_0.0_2_both,0.778,0.011,0.741,0.038,0.946,0.015,0.697,0.016,poly,both,10.0,scale,2.0,0.0,0.8434999999999999
10.000_poly_scale_0.3_4_both,0.732,0.016,0.734,0.041,0.953,0.014,0.626,0.03,poly,both,10.0,scale,4.0,0.3,0.8434999999999999
10.000_poly_scale_0.0_3_both,0.733,0.014,0.726,0.045,0.96,0.015,0.627,0.026,poly,both,10.0,scale,3.0,0.0,0.843
0.100_poly_scale_0.0_4_both,0.691,0.01,0.715,0.031,0.967,0.006,0.549,0.02,poly,both,0.1,scale,4.0,0.0,0.841
0.100_poly_scale_0.3_2_both,0.811,0.023,0.726,0.037,0.952,0.014,0.709,0.039,poly,both,0.1,scale,2.0,0.3,0.839
10.000_poly_scale_1.0_4_both,0.771,0.01,0.733,0.038,0.942,0.012,0.689,0.015,poly,both,10.0,scale,4.0,1.0,0.8374999999999999
10.000_poly_scale_0.3_2_both,0.79,0.013,0.732,0.035,0.941,0.011,0.716,0.022,poly,both,10.0,scale,2.0,0.3,0.8365
10.000_poly_scale_0.0_4_both,0.691,0.028,0.706,0.046,0.958,0.015,0.545,0.061,poly,both,10.0,scale,4.0,0.0,0.832
10.000_poly_scale_1.0_3_both,0.782,0.015,0.725,0.035,0.938,0.011,0.703,0.022,poly,both,10.0,scale,3.0,1.0,0.8314999999999999
1.000_poly_scale_0.0_2_both,0.782,0.025,0.715,0.033,0.948,0.009,0.694,0.036,poly,both,1.0,scale,2.0,0.0,0.8314999999999999
1.000_poly_scale_0.3_3_both,0.767,0.025,0.712,0.038,0.946,0.01,0.678,0.041,poly,both,1.0,scale,3.0,0.3,0.829
1.000_poly_scale_0.0_3_both,0.738,0.02,0.695,0.043,0.955,0.005,0.631,0.037,poly,both,1.0,scale,3.0,0.0,0.825
1.000_poly_scale_0.3_2_both,0.789,0.022,0.708,0.035,0.938,0.011,0.701,0.029,poly,both,1.0,scale,2.0,0.3,0.823
1.000_poly_scale_0.3_4_both,0.735,0.019,0.697,0.047,0.949,0.01,0.626,0.035,poly,both,1.0,scale,4.0,0.3,0.823
1.000_poly_scale_1.0_4_both,0.775,0.024,0.705,0.041,0.94,0.011,0.69,0.038,poly,both,1.0,scale,4.0,1.0,0.8225
1.000_poly_scale_1.0_3_both,0.783,0.019,0.7,0.04,0.935,0.013,0.697,0.024,poly,both,1.0,scale,3.0,1.0,0.8175
10.000_poly_scale_1.0_2_both,0.798,0.01,0.702,0.029,0.93,0.011,0.713,0.013,poly,both,10.0,scale,2.0,1.0,0.8160000000000001
1.000_poly_scale_0.0_4_both,0.698,0.014,0.677,0.047,0.953,0.006,0.558,0.029,poly,both,1.0,scale,4.0,0.0,0.815
0.100_poly_scale_0.3_3_both,0.741,0.026,0.688,0.024,0.935,0.014,0.632,0.044,poly,both,0.1,scale,3.0,0.3,0.8115
0.100_poly_scale_0.3_4_both,0.707,0.023,0.683,0.022,0.94,0.011,0.577,0.044,poly,both,0.1,scale,4.0,0.3,0.8115
0.100_poly_scale_1.0_4_both,0.737,0.019,0.687,0.027,0.926,0.015,0.632,0.033,poly,both,0.1,scale,4.0,1.0,0.8065
1.000_poly_scale_1.0_2_both,0.793,0.024,0.683,0.039,0.927,0.014,0.696,0.032,poly,both,1.0,scale,2.0,1.0,0.805
0.100_poly_scale_0.3_2_both,0.794,0.02,0.676,0.038,0.932,0.016,0.673,0.026,poly,both,0.1,scale,2.0,0.3,0.804
0.100_poly_scale_3.0_4_both,0.78,0.017,0.683,0.022,0.921,0.011,0.69,0.025,poly,both,0.1,scale,4.0,3.0,0.802
0.100_poly_scale_1.0_3_both,0.757,0.015,0.678,0.029,0.923,0.017,0.654,0.025,poly,both,0.1,scale,3.0,1.0,0.8005
0.100_poly_scale_3.0_3_both,0.786,0.014,0.675,0.021,0.917,0.012,0.69,0.019,poly,both,0.1,scale,3.0,3.0,0.796
0.100_poly_scale_3.0_2_both,0.814,0.014,0.642,0.031,0.918,0.01,0.645,0.022,poly,both,0.1,scale,2.0,3.0,0.78
0.100_poly_scale_1.0_2_both,0.802,0.022,0.632,0.047,0.922,0.017,0.624,0.039,poly,both,0.1,scale,2.0,1.0,0.777
0.100_poly_scale_10.0_4_both,0.782,0.018,0.638,0.032,0.913,0.01,0.659,0.023,poly,both,0.1,scale,4.0,10.0,0.7755000000000001
0.100_poly_scale_10.0_3_both,0.784,0.016,0.621,0.029,0.91,0.01,0.638,0.022,poly,both,0.1,scale,3.0,10.0,0.7655000000000001
0.100_poly_scale_10.0_2_both,0.802,0.015,0.602,0.032,0.91,0.012,0.606,0.015,poly,both,0.1,scale,2.0,10.0,0.756
0.100_poly_scale_-1.0_1_both,0.87,0.019,0.516,0.042,0.945,0.013,0.369,0.015,poly,both,0.1,scale,1.0,-1.0,0.7304999999999999
0.100_poly_scale_0.0_1_both,0.87,0.019,0.516,0.042,0.945,0.013,0.369,0.015,poly,both,0.1,scale,1.0,0.0,0.7304999999999999
0.100_poly_scale_0.3_1_both,0.87,0.019,0.516,0.042,0.945,0.013,0.369,0.015,poly,both,0.1,scale,1.0,0.3,0.7304999999999999
0.100_poly_scale_3.0_1_both,0.861,0.008,0.526,0.053,0.923,0.012,0.343,0.018,poly,both,0.1,scale,1.0,3.0,0.7245
0.100_poly_scale_10.0_1_both,0.861,0.008,0.526,0.053,0.923,0.012,0.344,0.018,poly,both,0.1,scale,1.0,10.0,0.7245
1.000_poly_scale_-1.0_1_both,0.813,0.017,0.511,0.042,0.916,0.02,0.499,0.008,poly,both,1.0,scale,1.0,-1.0,0.7135
1.000_poly_scale_0.0_1_both,0.813,0.017,0.511,0.042,0.916,0.02,0.499,0.008,poly,both,1.0,scale,1.0,0.0,0.7135
1.000_poly_scale_0.3_1_both,0.813,0.017,0.511,0.042,0.916,0.02,0.499,0.008,poly,both,1.0,scale,1.0,0.3,0.7135
1.000_poly_scale_1.0_1_both,0.813,0.017,0.511,0.042,0.916,0.02,0.499,0.008,poly,both,1.0,scale,1.0,1.0,0.7135
10.000_poly_scale_-1.0_1_both,0.776,0.014,0.514,0.027,0.908,0.014,0.539,0.025,poly,both,10.0,scale,1.0,-1.0,0.7110000000000001
10.000_poly_scale_0.0_1_both,0.776,0.014,0.514,0.027,0.908,0.014,0.539,0.025,poly,both,10.0,scale,1.0,0.0,0.7110000000000001
10.000_poly_scale_0.3_1_both,0.776,0.014,0.514,0.027,0.908,0.014,0.539,0.025,poly,both,10.0,scale,1.0,0.3,0.7110000000000001
10.000_poly_scale_1.0_1_both,0.776,0.014,0.514,0.027,0.908,0.014,0.539,0.025,poly,both,10.0,scale,1.0,1.0,0.7110000000000001
0.100_poly_scale_0.3_1_both,0.846,0.024,0.428,0.064,0.923,0.017,0.304,0.021,poly,both,0.1,scale,1.0,0.3,0.6755
0.100_poly_scale_1.0_1_both,0.846,0.024,0.428,0.064,0.923,0.017,0.304,0.021,poly,both,0.1,scale,1.0,1.0,0.6755
0.001_poly_scale_-1.0_1_both,0.608,0.015,0.263,0.035,0.865,0.026,0.304,0.037,poly,both,0.001,scale,1.0,-1.0,0.5640000000000001
0.001_poly_scale_-1.0_3_both,0.753,0.039,0.229,0.026,0.874,0.02,0.161,0.022,poly,both,0.001,scale,3.0,-1.0,0.5515
0.100_poly_scale_-1.0_3_both,0.762,0.018,0.142,0.012,0.84,0.02,0.07,0.004,poly,both,0.1,scale,3.0,-1.0,0.491
1.000_poly_scale_-1.0_3_both,0.732,0.018,0.09,0.018,0.804,0.018,0.06,0.003,poly,both,1.0,scale,3.0,-1.0,0.447
