2022.09.1
cid:153534151, bit_rank:1, bit:378, score:0.9547, score_perc:1.0000, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:153534151, bit_rank:3, bit:1152, score:0.9547, score_perc:1.0000, label:1, frag1:[NH] frag2:[NH;D2], radius:0
cid:153534151, bit_rank:4, bit:935, score:0.9547, score_perc:1.0000, label:1, frag1:[n] frag2:[n;R;D3], radius:0
cid:153534151, bit_rank:8, bit:1480, score:0.9547, score_perc:1.0000, label:1, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:153534151, bit_rank:12, bit:926, score:0.9547, score_perc:1.0000, label:1, frag1:[CH2] frag2:[CH2;R;D2], radius:0
153534151 rank:22 bit:80 failed
cid:153534151, bit_rank:24, bit:1982, score:0.9547, score_perc:1.0000, label:1, frag1:[c](=[O])(:[c](:[n]):[n]):[n](:[c])-[CH] frag2:[c;R;D3](=[O;D1])(:[c;R;D3](:[n;R;D2]):[n;R;D3]):[n;R;D3](:[c;R;D3])-[CH;R;D3], radius:2
153534151 rank:25 bit:331 failed
cid:153534151, bit_rank:27, bit:1524, score:0.9547, score_perc:1.0000, label:1, frag1:[c](:[cH]:[cH])(:[cH]:[cH])-[NH]-[c] frag2:[c;R;D3](:[cH;R;D2]:[cH;R;D2])(:[cH;R;D2]:[cH;R;D2])-[NH;D2]-[c;R;D3], radius:2
cid:153534151, bit_rank:36, bit:191, score:0.9547, score_perc:1.0000, label:1, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:153534151, bit_rank:38, bit:1268, score:0.9547, score_perc:1.0000, label:1, frag1:[n](:[c])(:[c])-[CH] frag2:[n;R;D3](:[c;R;D3])(:[c;R;D3])-[CH;R;D3], radius:1
cid:145972011, bit_rank:1, bit:378, score:0.9444, score_perc:1.0000, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:145972011, bit_rank:4, bit:935, score:0.9444, score_perc:1.0000, label:1, frag1:[n] frag2:[n;R;D3], radius:0
cid:145972011, bit_rank:12, bit:926, score:0.9444, score_perc:1.0000, label:1, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:145972011, bit_rank:18, bit:1722, score:0.9444, score_perc:1.0000, label:1, frag1:[CH3]-[c] frag2:[CH3;D1]-[c;R;D3], radius:1
cid:145972011, bit_rank:22, bit:80, score:0.9444, score_perc:1.0000, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:137642139, bit_rank:0, bit:1917, score:0.9443, score_perc:0.9999, label:1, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:137642139, bit_rank:1, bit:378, score:0.9443, score_perc:0.9999, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:137642139, bit_rank:2, bit:807, score:0.9443, score_perc:0.9999, label:1, frag1:[C] frag2:[C;D3], radius:0
cid:137642139, bit_rank:3, bit:1152, score:0.9443, score_perc:0.9999, label:1, frag1:[NH] frag2:[NH;D2], radius:0
cid:137642139, bit_rank:4, bit:935, score:0.9443, score_perc:0.9999, label:1, frag1:[n] frag2:[n;R;D3], radius:0
cid:137642139, bit_rank:6, bit:1970, score:0.9443, score_perc:0.9999, label:1, frag1:[c](:[cH])(:[c])-[O] frag2:[c;R;D3](:[cH;R;D2])(:[c;R;D3])-[O;D2], radius:1
cid:137642139, bit_rank:15, bit:1765, score:0.9443, score_perc:0.9999, label:1, frag1:[CH2](-[c])-[n] frag2:[CH2;D2](-[c;R;D3])-[n;R;D3], radius:1
cid:137642139, bit_rank:22, bit:80, score:0.9443, score_perc:0.9999, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
137642139 rank:38 bit:1268 failed
cid:137658857, bit_rank:0, bit:1917, score:0.9407, score_perc:0.9999, label:1, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:137658857, bit_rank:2, bit:807, score:0.9407, score_perc:0.9999, label:1, frag1:[C] frag2:[C;D3], radius:0
cid:137658857, bit_rank:12, bit:926, score:0.9407, score_perc:0.9999, label:1, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:137658857, bit_rank:13, bit:1296, score:0.9407, score_perc:0.9999, label:1, frag1:[C](-[C])(-[C])=[O] frag2:[C;R;D3](-[C;R;D3])(-[C;R;D4])=[O;D1], radius:1
cid:137658857, bit_rank:15, bit:1765, score:0.9407, score_perc:0.9999, label:1, frag1:[C@@H](-[C@@H](-[C])-[OH])(-[C](-[CH2])(-[CH3])-[CH3])-[C@](-[CH])(-[CH2])-[CH] frag2:[C@@H;R;D3](-[C@@H;R;D3](-[C;R;D4])-[OH;D1])(-[C;R;D4](-[CH2;R;D2])(-[CH3;D1])-[CH3;D1])-[C@;R;D4](-[CH;R;D2])(-[CH2;R;D2])-[CH;R;D3], radius:2
137658857 rank:22 bit:80 failed
cid:137658857, bit_rank:35, bit:478, score:0.9407, score_perc:0.9999, label:1, frag1:[C@@H](-[CH2])(-[C])-[C] frag2:[C@@H;R;D3](-[CH2;R;D2])(-[C;R;D4])-[C;R;D4], radius:1
cid:137650183, bit_rank:0, bit:1917, score:0.9387, score_perc:0.9998, label:1, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:137650183, bit_rank:1, bit:378, score:0.9387, score_perc:0.9998, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:137650183, bit_rank:2, bit:807, score:0.9387, score_perc:0.9998, label:1, frag1:[C] frag2:[C;D3], radius:0
cid:137650183, bit_rank:6, bit:1970, score:0.9387, score_perc:0.9998, label:1, frag1:[c](:[cH])(:[c])-[O] frag2:[c;R;D3](:[cH;R;D2])(:[c;R;D3])-[O;D2], radius:1
cid:137650183, bit_rank:11, bit:25, score:0.9387, score_perc:0.9998, label:1, frag1:[c](:[cH]:[c])(-[C](=[O])-[O]):[c](:[cH])-[O] frag2:[c;R;D3](:[cH;R;D2]:[c;R;D3])(-[C;D3](=[O;D1])-[O;D2]):[c;R;D3](:[cH;R;D2])-[O;D2], radius:2
cid:137650183, bit_rank:18, bit:1722, score:0.9387, score_perc:0.9998, label:1, frag1:[CH3]-[c] frag2:[CH3;D1]-[c;R;D3], radius:1
cid:137650183, bit_rank:20, bit:1199, score:0.9387, score_perc:0.9998, label:1, frag1:[cH](:[cH]:[c]):[cH]:[cH] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[cH;R;D2]:[cH;R;D2], radius:2
cid:137650183, bit_rank:22, bit:80, score:0.9387, score_perc:0.9998, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:137653966, bit_rank:1, bit:378, score:0.9307, score_perc:0.9998, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:137653966, bit_rank:6, bit:1970, score:0.9307, score_perc:0.9998, label:1, frag1:[c](:[cH])(:[c])-[O] frag2:[c;R;D3](:[cH;R;D2])(:[c;R;D3])-[O;D2], radius:1
cid:137653966, bit_rank:18, bit:1722, score:0.9307, score_perc:0.9998, label:1, frag1:[CH3]-[c] frag2:[CH3;D1]-[c;R;D3], radius:1
cid:137653966, bit_rank:20, bit:1199, score:0.9307, score_perc:0.9998, label:1, frag1:[cH](:[cH]:[c]):[cH]:[cH] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[cH;R;D2]:[cH;R;D2], radius:2
cid:137653966, bit_rank:22, bit:80, score:0.9307, score_perc:0.9998, label:1, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:153534138, bit_rank:1, bit:378, score:0.9196, score_perc:0.9997, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:153534138, bit_rank:3, bit:1152, score:0.9196, score_perc:0.9997, label:1, frag1:[NH] frag2:[NH;D2], radius:0
cid:153534138, bit_rank:4, bit:935, score:0.9196, score_perc:0.9997, label:1, frag1:[n] frag2:[n;R;D3], radius:0
